Originating Account Number,Posting Date,Trans Date,Type,Category,Merchant Name,Merchant City,Merchant State,Description,Transaction Type,Amount,Reference Number,Diverted To Account Last4
XXXX-1234,1/5/2022,1/4/2022,Debit,Groceries,COOKIE SELLER,ANYWHERE CITY,MT,Miscellaneous Food Stores - Specialty ,Purchase,$15.51 ,x12345678987,XXXX-
XXXX-1234,1/5/2022,1/4/2022,Debit,Home Repair,APPLIANCE CO,ANYWHERE CITY,MT,Electrical Parts And Equipment,Purchase,$149.15 ,x12345678988,XXXX-
XXXX-1234,1/4/2022,1/3/2022,Debit,Miscellaneous,LOCAL CITY,ANYWHERE CITY,MT,Government Services Not Elsewhere Clas,Purchase,$84.59 ,x12345678989,XXXX-
XXXX-1234,1/4/2022,1/3/2022,Debit,Groceries,GROCERY INC 5005,ANYWHERE CITY,MT,Grocery Stores Supermarkets,Purchase,$36.79 ,x12345678990,XXXX-
XXXX-1234,1/4/2022,1/3/2022,Debit,Dining Out,BAR AND GRILL CO,ANYWHERE CITY,MT,Drinking Places (Alcoholic Beverages),Purchase,$83.74 ,x12345678991,XXXX-
XXXX-1234,1/2/2022,12/31/2021,Debit,Miscellaneous,SOFTWARE LLC,ANYWHERE CITY,MT,unassigned,Purchase,$74.19 ,x12345678992,XXXX-
XXXX-1234,1/2/2022,12/31/2021,Debit,Groceries,GROCERY INC 2087,ANYWHERE CITY,MT,Grocery Stores Supermarkets,Purchase,$54.26 ,x12345678993,XXXX-
XXXX-1234,1/2/2022,12/31/2021,Debit,Groceries,GROCERY INC 2087,ANYWHERE CITY,MT,Grocery Stores Supermarkets,Purchase,$8.46 ,x12345678994,XXXX-
XXXX-1234,1/2/2022,12/31/2021,Debit,Groceries,GROCERY INC 2087,ANYWHERE CITY,MT,Grocery Stores Supermarkets,Purchase,$6.35 ,x12345678995,XXXX-
XXXX-1234,1/2/2022,12/31/2021,Debit,Dining Out,BAR AND GRILL LLC,ANYWHERE CITY,MT,Eating Places Restaurants,Purchase,$78.04 ,x12345678996,XXXX-
